study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,baseline_summary,classical_ml,boosted_ensemble,deep_transformer_llm,optimization_metaheuristic,ablation_feature_fusion,external_literature,operational_service,baseline_richness,comparability_caution
S001,Keerthi2025ProactiveDefenseAgainst,FT020,2-s2.0-105034831363,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icaaic64647.2025.11331006,doi_recorded,2025,Proactive Defense Against Quishing: Integrating Predictive Analytics and Dynamic Analysis for Intelligent Threat Detection,Static lexical-only LightGBM; Static+WHOIS LightGBM,no,yes,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S002,AlFayoumi2024XAIPhDFortifyingTrust,FT035,2-s2.0-85201680537,Scopus; Scopus-expanded; Web of Science,10.3991/ijoe.v20i11.49533,doi_recorded,2024,XAI-PhD: Fortifying Trust of Phishing URL Detection Empowered by Shapley Additive Explanations,DT; SVM; KNN; prior literature comparators,yes,no,no,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S003,Alam2024E2PhishExplainableEnsemble,FT005,2-s2.0-105000687343,Scopus; IEEE Xplore; Scopus-expanded,10.1109/cict64037.2024.10899721,doi_recorded,2024,E2Phish: Explainable Ensemble Machine Learning Model for Enhanced Phishing URL Detection,Decision Tree; Naive Bayes; Logistic Regression; SVM; hard voting; soft voting; stacking ensemble,yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S004,Rashid2025OneshotURLClassifiers,FT010,2-s2.0-85214811368,Scopus; Scopus-expanded,10.1016/j.comnet.2024.111004,doi_recorded,2025,LLMs are one-shot URL classifiers and explainers,URLTran; URLNet; CatchPhish; PhishRF; LIME explanations from URLTran used as explanation-alignment proxy,no,no,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S005,Fatima2025ExplainableIOTDevices,FT016,2-s2.0-105026382146,Scopus; Scopus-expanded,10.48084/etasr.11595,doi_recorded,2025,Explainable AI for IOT Devices and Robotic Communication Phishing Detection: A Machine Learning Approach Using LIME and SHAP,Logistic Regression; Decision Tree; Random Forest,yes,no,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S006,Prayogo2024ExplainableLearningBasedWebsite,FT014,2-s2.0-85207101088,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icitri62858.2024.10698870,doi_recorded,2024,An Explainable Machine Learning-Based Phishing Website Detection using Gradient Boosting,XGBoost; LightGBM; CatBoost; randomized search; TPE; Bayesian optimization; state-of-the-art methods on the same datasets,no,yes,no,yes,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S007,Alajlouni2024OptimizingURLComparative,FT011,2-s2.0-85215285316,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccns62192.2024.10776210,doi_recorded,2024,Optimizing Phishing URL Detection: A Comparative Analysis of Feature Counts and Training Times,Hannousse et al. benchmark; Logistic Regression; Random Forest; AdaBoost; XGBoost; Naive Bayes; Neural Network; Decision Tree; LightGBM; Gradient Boosting; CatBoost; ExtraTrees;...,yes,yes,yes,no,yes,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S008,Bacanin2023AddressingFeatureSelection,FT003,2-s2.0-85163322467,Scopus; Scopus-expanded; Web of Science,10.1007/s40747-023-01118-z,doi_recorded,2023,Addressing feature selection and extreme learning machine tuning by diversity-oriented social network search: an application for phishing websites detection,SNS; Firefly Algorithm; Bat Algorithm; Artificial Bee Colony; Harris Hawks Optimization; Sine Cosine Algorithm; ELM tuning without feature selection,no,no,no,yes,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S009,Vulfin2026MultimodalWebsiteSystem,FT004,2-s2.0-105028645835,Scopus; Scopus-expanded; Web of Science,10.3390/make8010011,doi_recorded,2026,A Multimodal Phishing Website Detection System Using Explainable Artificial Intelligence Technologies,"Single-modal CatBoost, CodeBERT, CNN1D, and EfficientNet-B7 branches; multimodal voting variants; external comparison tools Google Safe Browsing, OpenPhish API, and URLhaus API;...",no,yes,no,no,yes,yes,yes,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S010,Yakandawala2024ExplainableTransparentEmail,FT017,2-s2.0-105010257519,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icatc64549.2024.11025302,doi_recorded,2024,Explainable AI for Transparent Phishing Email Detection,Logistic Regression; Random Forest; SVM; Gradient Boosting; Naive Bayes; KNN; Decision Tree,yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S011,Liu2023KnowledgeExpansionCounterfactual,FT009,2-s2.0-85176145446,Scopus; Scopus-expanded,,no_doi_identified,2023,Knowledge Expansion and Counterfactual Interaction for Reference-Based Phishing Detection,PhishIntention; Phishpedia; PhishIntention+BKE; Phishpedia+BKE; WI-only; VirusTotal in wild study,no,no,no,no,no,no,yes,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S012,Pragna2025ComprehensiveAnalysisApproaches,FT056,2-s2.0-105008421711,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ic3ecsbhi63591.2025.10990503,doi_recorded,2025,Comprehensive Analysis of Machine Learning Approaches for Phishing Website Detection,"Logistic Regression, KNN, SVM, Decision Tree, Random Forest, AdaBoost, XGBoost, Gradient Boosting, CatBoost and three ensemble combinations.",yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
