study_id,citation_key,year,title,xai_methods,global_scope_present,local_scope_present,explanation_scope_category,scope_evidence_basis,xai_changes_model_or_features,reliability_outcome_type,reliability_comparator_present,reliability_effect_direction,reliability_evidence_level,reliability_evidence_basis,coding_notes
S001,Keerthi2025ProactiveDefenseAgainst,2025,Proactive Defense Against Quishing: Integrating Predictive Analytics and Dynamic Analysis for Intelligent Threat Detection,SHAP; analyst dashboard visualization,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S002,AlFayoumi2024XAIPhDFortifyingTrust,2024,XAI-PhD: Fortifying Trust of Phishing URL Detection Empowered by Shapley Additive Explanations,SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,yes,efficiency_only,no_predictive_reliability_comparator,not_established_for_reliability,efficiency_evidence_only,"SHAP-guided feature reduction lowers prediction time from 2.48 ms to 1.47 ms per record, but the extraction record does not provide a matched full-feature predictive-reliability comparison.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer. Reliability coding is limited to outcomes plausibly attributable to explanation-guided model or feature refinement."
S003,Alam2024E2PhishExplainableEnsemble,2024,E2Phish: Explainable Ensemble Machine Learning Model for Enhanced Phishing URL Detection,SHAP; LIME; PDP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S004,Rashid2025OneshotURLClassifiers,2025,LLMs are one-shot URL classifiers and explainers,LLM natural-language explanation; LIME comparison proxy,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S005,Fatima2025ExplainableIOTDevices,2025,Explainable AI for IOT Devices and Robotic Communication Phishing Detection: A Machine Learning Approach Using LIME and SHAP,LIME; SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S006,Prayogo2024ExplainableLearningBasedWebsite,2024,An Explainable Machine Learning-Based Phishing Website Detection using Gradient Boosting,SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,yes,predictive_performance_after_feature_reduction,yes,negative_tradeoff,direct_within_study_comparison,"Using only three explanation-selected features yields 94.34% accuracy versus 97.85% for the full feature set, a reported 3.58% drop.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer. Reliability coding is limited to outcomes plausibly attributable to explanation-guided model or feature refinement."
S007,Alajlouni2024OptimizingURLComparative,2024,Optimizing Phishing URL Detection: A Comparative Analysis of Feature Counts and Training Times,SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,yes,accuracy_and_training_time_across_feature_counts,yes_limited,performance_roughly_maintained_with_efficiency_gain,direct_feature_count_comparison_limited,"SHAP-selected reduced feature sets are compared with larger feature sets and retain useful accuracy while substantially reducing training time; the study does not establish broader generalization, calibration, or robustness gains.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer. Reliability coding is limited to outcomes plausibly attributable to explanation-guided model or feature refinement."
S008,Bacanin2023AddressingFeatureSelection,2023,Addressing feature selection and extreme learning machine tuning by diversity-oriented social network search: an application for phishing websites detection,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S009,Vulfin2026MultimodalWebsiteSystem,2026,A Multimodal Phishing Website Detection System Using Explainable Artificial Intelligence Technologies,SHAP; Grad-CAM; LLM natural-language explanation; attention analysis,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S010,Yakandawala2024ExplainableTransparentEmail,2024,Explainable AI for Transparent Phishing Email Detection,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
