study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,screening_decision,phishing_subtype,modality,model_family,posthoc_xai_method,dataset,evaluation_metrics,baseline_models,explanation_purpose,main_findings,limitations,reproducibility_notes,threats_to_validity,synthesis_notes,primary_modality_normalized,xai_methods_normalized,model_families_normalized,explanation_role_primary,explanation_role_secondary,mixed_purpose_xai,trust_evidence_level,trust_evidence_basis,operational_evidence_level,operational_evidence_basis,validation_gate_reached,dataset_provenance_category,validation_design,reproducibility_level,claim_evidence_mismatch,claim_risk,coding_notes
S001,Keerthi2025ProactiveDefenseAgainst,FT020,2-s2.0-105034831363,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icaaic64647.2025.11331006,doi_recorded,2025,Proactive Defense Against Quishing: Integrating Predictive Analytics and Dynamic Analysis for Intelligent Threat Detection,include,quishing / QR-code phishing,qr/quishing; url,boosted trees; classical ML; hybrid static-dynamic system,SHAP; analyst dashboard visualization,"3,353 unique QR-derived URLs with benign and phishing samples; decoded, preprocessed, enriched with lexical and WHOIS metadata; subset of 10 high-risk URLs dynamically sandboxed for behavioral analysis",AUC; accuracy; precision; calibration curve; SHAP feature importance; sandbox evidence counts; analyst-interface workflow evidence,Static lexical-only LightGBM; Static+WHOIS LightGBM,"explain QR-derived URL risk through SHAP feature attributions, calibrated probabilities, WHOIS features, sandbox artifacts, screenshots, and Streamlit analyst interface outputs","The LightGBM quishing detector reports strong domain-holdout performance: lexical-only model AUC 0.984, accuracy 96.1%, precision 95.3%; Static+WHOIS model accuracy 96.7%, precision 96.2%, and mean AUC around 0.98, although the table lists AUC 0.949 for Static+WHOIS while surrounding text describes improved stability. SHAP identifies domain_age_days, url_length, is_https, and num_special_chars as important predictors. Operational/forensic utility is partly measured through system integration: Playwright sandboxing captures redirects, HTTP codes, forms, scripts, and screenshots; among 10 sandboxed URLs, nine show phishing features. A Streamlit analyst interface unifies QR upload, decoded URL, lexical/WHOIS features, confidence, SHAP plots, sandbox evidence, and report generation.","Dynamic sandbox validation is demonstrated on only 10 URLs. No latency, throughput, or live SOC field study is reported. The AUC reporting is internally inconsistent between Table I and explanatory text. Trust/analyst efficiency claims are not backed by measured analyst outcomes.","The pipeline components are specified: QR decoding, lexical and WHOIS feature extraction, LightGBM, Playwright sandbox, SHAP, and Streamlit dashboard. Dataset provenance and code availability are not clearly provided in the extracted text.",Small sandbox sample limits behavioral-validation claims. Domain-holdout evaluation may not represent QR campaign diversity. Interface usefulness is argued from design rather than tested with analysts. Metric inconsistency should be tracked in synthesis.,Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: prototype/interface. Validation gate: interface. Reproducibility: low. Claim-evidence risk: moderate.,qr/quishing,SHAP; analyst dashboard visualization,classical ML; boosted trees; hybrid ML/DL,operational interface support,local decision rationale,no,none/rhetorical,Analyst-interface usefulness is argued from design only.,prototype/interface,Streamlit dashboard and sandbox artifacts are demonstrated on a small dynamic subset.,interface,custom/proprietary,single dataset,low,Prototype evidence is real but small; trust and operational-scale claims remain overextended.,moderate,Quishing study with SHAP and dynamic-analysis evidence.
S002,AlFayoumi2024XAIPhDFortifyingTrust,FT035,2-s2.0-85201680537,Scopus; Scopus-expanded; Web of Science,10.3991/ijoe.v20i11.49533,doi_recorded,2024,XAI-PhD: Fortifying Trust of Phishing URL Detection Empowered by Shapley Additive Explanations,include,phishing website/url,url,boosted trees,SHAP,"ISCX-URL2016 filtered to benign+phishing URLs (45,343 rows from the 114,250-record source corpus; 35,343 benign and 10,000 phishing after filtering)",accuracy; precision; recall; F1-measure; running prediction time per whole dataset; running prediction time per record,DT; SVM; KNN; prior literature comparators,feature attribution for post-hoc global/local explanation plus SHAP-guided feature selection to reduce model complexity and justify predictions,"Uses SHAP to rank 18 lexical URL features, retains 10 influential features, and trains a LightGBM phishing URL detector on the filtered ISCX-URL2016 corpus under 10-fold cross-validation. The paper reports 99.8% accuracy, 100% precision, 99% recall, and 100% F1, while also presenting measured efficiency evidence: prediction time drops from 2.48 ms to 1.47 ms per record when SHAP-based feature reduction is used (reported 40.73% improvement), with whole-dataset runtime also slightly reduced. Explanation outputs include SHAP summary, heatmap, interaction, waterfall, and force-style visual analyses that show how url_len, url_path_len, fld_len, count_dirs, punctuation, and related lexical cues shape predictions at global and instance level.",Interpretability is tightly intertwined with feature selection rather than a purely separable post-hoc explanation layer; evaluation is limited to one filtered benchmark dataset and offline cross-validation with no external or live deployment validation; trust is framed rhetorically through transparency/credibility language rather than measured through human-subject or analyst studies; lexical URL features may be brittle under adaptive phishing evolution,"No code repository or executable artifact release is stated in the extracted full text; dataset provenance, hardware specifications (ThinkPad E560; 16 GB RAM; Windows 10), and cross-validation setup are reported clearly","Operational evidence is measured and relatively strong at the model/runtime level, but human-facing trust evidence is absent; results remain benchmark-bound and do not establish analyst effectiveness or field robustness",Explanation role: explanation-informed modeling. Mixed-purpose xAI: yes-feature-selection. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,url,SHAP,boosted trees,explanation-informed modeling,model inspection,yes-feature-selection,none/rhetorical,Trust remains rhetorical.,runtime/resource,Prediction time per dataset and per record is reported.,artifact,public benchmark,single dataset,moderate,Runtime evidence is model-level; analyst effectiveness and field robustness are not measured.,moderate,SHAP feature-selection study with reported runtime measurements.
S003,Alam2024E2PhishExplainableEnsemble,FT005,2-s2.0-105000687343,Scopus; IEEE Xplore; Scopus-expanded,10.1109/cict64037.2024.10899721,doi_recorded,2024,E2Phish: Explainable Ensemble Machine Learning Model for Enhanced Phishing URL Detection,include,phishing website/url,url,ensemble ML; stacking; voting; classical ML,SHAP; LIME; PDP,"Public Kaggle phishing URL dataset (10,000 rows, 50 columns including target variable; balanced legitimate/phishing labels; Mutual Information selects top 32 features)",accuracy; precision; recall; F1-score,Decision Tree; Naive Bayes; Logistic Regression; SVM; hard voting; soft voting; stacking ensemble,"Post-hoc explanation of the best stacking ensemble using SHAP beeswarm plots, LIME local explanations, and PDP feature-effect plots; MI feature selection before modeling","E2Phish evaluates base classifiers and ensemble variants on a balanced 10,000-row Kaggle phishing URL dataset after Mutual Information selects 32 features. The stacking ensemble is the best reported model with 97% accuracy, 96% precision, 98% recall, and 97% F1, outperforming hard voting and soft voting (both around 93-94% F1/accuracy range) and base models. The XAI module applies SHAP, LIME, and PDP to the best model, identifying PctExtNullSelfRedirectHyperlinksRT/FrequentDomainNameMismatch in SHAP and features such as FrequentDomainName, NumDash, SubmitInfoToEmail, PctNullSelfRedirectHyperlinks, PctExtResourceUrls, and NumDash as important URL-level phishing cues.","The work remains a benchmark-centered URL study: it uses a single Kaggle dataset, does not report runtime/latency or deployment testing, and does not evaluate whether SHAP/LIME/PDP explanations improve user or analyst decisions. MI feature selection precedes the post-hoc XAI stage, so the explanation workflow is partly coupled to feature-selection logic. The authors acknowledge the need for more heterogeneous and up-to-date phishing URL datasets and note potential computing-resource constraints for ensemble interpretability.","The paper states that project code is available at https://github.com/tejas-kalal/E2Phish and uses a public Kaggle dataset. Model families, algorithms, selected features, and comparison table are described, but hardware/environment details are limited in the extracted full text.",Trust/transparency is rhetorical and model-centric rather than empirically measured; operational utility is not addressed beyond code availability and benchmark performance. Generalization to evolving phishing URLs and external datasets remains untested.,Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: high. Claim-evidence risk: moderate.,url,SHAP; LIME; PDP,classical ML; ensemble/AutoML,model inspection,local decision rationale,no,none/rhetorical,No human or analyst validation of SHAP/LIME/PDP usefulness.,none,"No runtime, latency, deployment, or workflow evidence.",artifact,public benchmark,single dataset,high,Benchmark performance and explanation plots do not support trust or operational claims.,moderate,"MI feature selection precedes, rather than constitutes, the post-hoc XAI stage."
S004,Rashid2025OneshotURLClassifiers,FT010,2-s2.0-85214811368,Scopus; Scopus-expanded,10.1016/j.comnet.2024.111004,doi_recorded,2025,LLMs are one-shot URL classifiers and explainers,include,phishing URL,url,transformer/LLM; supervised transformer baseline,LLM natural-language explanation; LIME comparison proxy,"ISCX-2016 URL dataset, EBBU-2017 URL dataset, and HISPAR-Phishstats (HP) dataset; supervised splits are 60/20/20 with Table 2 counts; LLM evaluation uses 1,000 sampled test URLs per dataset; appendix also evaluates PhiUSIIL","F1; accuracy; precision; recall; Jaccard similarity between LLM self-explanation indicators and LIME indicators; G-Eval readability, coherence, and informativeness",URLTran; URLNet; CatchPhish; PhishRF; LIME explanations from URLTran used as explanation-alignment proxy,classify a URL as benign/phishing and generate natural-language self-explanations; compare explanation indicators with LIME indicators from supervised URLTran models,"GPT-4 Turbo is the best one-shot LLM, with F1 scores of 0.94 on HP, 0.95 on EBBU, and 0.87 on ISCX (average 0.92), about 0.07 below the same-dataset supervised URLTran F1 of 0.99 and within 0.05-0.12 of URLTran in the authors summary. GPT-4 Turbo explanation indicators align with LIME indicators above Jaccard 0.5 for 72% of HP, 69% of EBBU, and 56% of ISCX examples; G-Eval shows most non-LLaMA2 explanations have high readability, coherence, and informativeness. Trust remains rhetorical/automated-quality only: no human user or analyst outcome study is conducted.","URL-only classification can miss phishing hosted on otherwise legitimate domains because page content is absent. Multi-modal extension would require visiting pages, screenshots, code capture, and LLM queries, introducing latency and fitting server-side rather than end-user-side deployment. API cost drives the 1,000-sample LLM evaluation limit. A user study is proposed but not performed.","Data availability statement says data will be made available on request; no clear public code release is reported in the extracted text. The paper identifies datasets, supervised baselines, model list (GPT-4 Turbo, Claude 3 Opus, Gemini, LLaMA 3, LLaMA 2), five repeated LLM queries per URL, and prediction parsing rules.",LIME indicators are treated as a proxy gold standard despite known instability and possible mismatch with true human-recognized phishing indicators. G-Eval is automated rather than a human-subject evaluation. LLM background knowledge of benign domains may inflate performance on benchmark URLs and may not generalize to newly registered or private phishing campaigns.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: automated proxy. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,url,LIME; LLM natural-language explanation,transformer/LLM,local decision rationale,model inspection,no,automated proxy,"Jaccard/G-Eval explanation metrics are automated proxies, not measured trust.",none,Latency and deployment constraints are discussed as future/server-side concerns.,artifact,public benchmark,multi-dataset,moderate,Explanation-quality metrics should not be described as human trust evidence.,moderate,LLM self-explanation strand.
S005,Fatima2025ExplainableIOTDevices,FT016,2-s2.0-105026382146,Scopus; Scopus-expanded,10.48084/etasr.11595,doi_recorded,2025,Explainable AI for IOT Devices and Robotic Communication Phishing Detection: A Machine Learning Approach Using LIME and SHAP,include,phishing URL / IoT-adjacent phishing,url,classical ML; random forest,LIME; SHAP,"PhishTank phishing URL dataset, preprocessed with feature selection, cleaning, duplicate/missing-value removal, and 80/20 train/test split",accuracy; precision; recall; F1,Logistic Regression; Decision Tree; Random Forest,use LIME for local URL-level explanations and SHAP for global feature importance in an interactive URL-prediction mechanism,"Random Forest is selected as the final model because it outperforms Logistic Regression and Decision Tree across all reported metrics, reaching 0.9835 accuracy, precision, recall, and F1. LIME highlights local contributors such as FrequentDomainNameMismatch and NumSensitiveWords, while SHAP identifies PctNullSelfRedirectHyperlinksRT, PctExtHyperlinks, and FrequentDomain as important global features. An interactive mechanism lets users input URLs and see predictions plus explanation output, but no measured user evaluation is reported.","The study is framed around IoT/robotic communication but empirically uses a URL dataset rather than direct IoT telemetry. Trust and usability are asserted, not measured. Generalization to live phishing, IoT environments, and evolving attack patterns is not validated.","Dataset source (PhishTank), preprocessing workflow, model set, metrics, and key explained features are described. No code repository or exact feature-file release is evident in the extracted text.",Single-source URL data can bias the learned features. Interactive explanation output is not evaluated with users. Reported IoT relevance is largely contextual rather than experimentally validated.,Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: prototype/interface. Validation gate: interface. Reproducibility: moderate. Claim-evidence risk: moderate.,url,SHAP; LIME,classical ML; random forest,operational interface support,local decision rationale,no,none/rhetorical,Trust/usability are asserted but not measured.,prototype/interface,Interactive URL-prediction mechanism is described without user testing.,interface,public benchmark,single dataset,moderate,IoT/robotic framing and interface claims are stronger than the URL-only empirical evidence.,moderate,Random-forest URL detector with LIME and SHAP interaction analysis.
S006,Prayogo2024ExplainableLearningBasedWebsite,FT014,2-s2.0-85207101088,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icitri62858.2024.10698870,doi_recorded,2024,An Explainable Machine Learning-Based Phishing Website Detection using Gradient Boosting,include,phishing website,website,boosted trees,SHAP; LIME,"UCI phishing websites dataset (2015), Mendeley phishing dataset (2018), and Mendeley phishing dataset (2020); Mendeley 2020 selected for post-hoc SHAP/LIME because it has larger feature/sample coverage",accuracy; 10-fold cross-validation; hyperparameter-tuning gain/loss; reduced-feature accuracy,XGBoost; LightGBM; CatBoost; randomized search; TPE; Bayesian optimization; state-of-the-art methods on the same datasets,apply global SHAP and local LIME to the selected CatBoost model to identify influential phishing-website features and explain sample-level predictions,"After preprocessing, SMOTE, 80/20 train/test split, and 10-fold cross-validation, tuned CatBoost is the strongest model with best accuracies of 97.45% on UCI 2015, 99.16% on Mendeley 2018, and 97.85% on Mendeley 2020. SHAP and LIME on Mendeley 2020 identify length_url, directory_length, and time_domain_activation as dominant drivers; using only these three features gives 94.34% accuracy after a 97.29% feature reduction, with only a 3.58% drop relative to the full feature set. Trust is rhetorical/interpretability-oriented only; no user or analyst evaluation is reported.","The XAI component partly supports feature reduction, so the study is mixed-purpose rather than purely user-facing explanation. Results depend on three established public datasets and may not generalize to newly evolving phishing sites. Operational claims about fast gradient boosting are not accompanied by concrete runtime/latency measurements.","Datasets and citations are clearly named, experiments used Python 3.10.6 in Google Colaboratory, and hyperparameter spaces are tabulated. No public code repository is evident in the extracted full text.","SMOTE and dataset age may affect real-world validity. Feature importance may be dataset-specific, particularly for Mendeley 2020. Reduced-feature accuracy does not establish analyst usefulness or deployment performance.",Explanation role: model inspection. Mixed-purpose xAI: yes-feature-selection. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,website,SHAP; LIME,boosted trees,model inspection,explanation-informed modeling,yes-feature-selection,none/rhetorical,No human trust or usability evaluation.,none,Fast gradient-boosting claims are not backed by concrete deployment/runtime evidence.,artifact,public benchmark,multi-dataset,moderate,Reduced-feature accuracy does not establish analyst usefulness or deployment performance.,moderate,SHAP/LIME boosted-tree benchmark with feature-reduction use.
S007,Alajlouni2024OptimizingURLComparative,FT011,2-s2.0-85215285316,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccns62192.2024.10776210,doi_recorded,2024,Optimizing Phishing URL Detection: A Comparative Analysis of Feature Counts and Training Times,include,phishing URL,url,classical ML; boosted trees; neural network,SHAP; LIME,"Hannousse and Yahiouche benchmark website-phishing dataset with 11,430 instances, 5,715 legitimate and 5,715 phishing; original dataset has 89 columns / 87 features, but this study uses URL and status columns to derive 41 hexadecimal n-gram statistical features",accuracy; feature-count reduction; training-time speed-up,Hannousse et al. benchmark; Logistic Regression; Random Forest; AdaBoost; XGBoost; Naive Bayes; Neural Network; Decision Tree; LightGBM; Gradient Boosting; CatBoost; ExtraTrees; original 87-feature setting,"use SHAP global feature attribution and LIME local examples to identify important hexadecimal n-gram features, then reduce feature sets and training time","With 41 extracted n-gram features, best reported accuracies include XGBoost 88.15% on 8-grams and LightGBM 87.84% on 8-grams. SHAP identifies the max n-gram feature and hexadecimal character counts such as char_hex_3_count, char_hex_d_count, and char_hex_0_count as key drivers; LIME illustrates local non-phishing and phishing decisions with max and character-count features. Reduced feature sets of 4, 7, 10, 13, and 15 features are chosen from SHAP importance and substantially speed training, e.g., Logistic Regression up to 31x faster, Decision Tree up to 25x faster, XGBoost up to 4.69x faster, and AdaBoost up to 6.02x faster. Operational utility is measured only as offline training-time speed-up, not deployment latency or analyst workflow.","XAI is mixed-purpose: SHAP/LIME explain predictions but primarily support feature selection and complexity reduction. Evaluation uses one balanced benchmark dataset and accuracy only; no independent temporal, cross-domain, or field deployment test is reported. Future work explicitly calls for additional features and datasets to validate robustness and generalizability.","Dataset source is named as Hannousse and Yahiouche; no public code or generated feature files are reported in the extracted text. The paper lists the 41 engineered features and the evaluated classifier set, which supports partial reproduction if the source dataset is available.","Feature-attribution results may be dataset-specific and optimized around the same feature-selection loop being evaluated. Training-time speed-up does not prove real-time inference efficiency. No user, analyst, or trust outcome evidence is measured.",Explanation role: explanation-informed modeling. Mixed-purpose xAI: yes-model-simplification. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,url,SHAP; LIME,classical ML; boosted trees; deep learning,explanation-informed modeling,model inspection,yes-model-simplification,none/rhetorical,No user/analyst trust evidence.,runtime/resource,Feature-count reduction and training-time speed-up are measured.,artifact,public benchmark,single dataset,moderate,Efficiency evidence is training-centered; real-time inference and trust remain untested.,moderate,Mixed SHAP/LIME feature-reduction paper.
S008,Bacanin2023AddressingFeatureSelection,FT003,2-s2.0-85163322467,Scopus; Scopus-expanded; Web of Science,10.1007/s40747-023-01118-z,doi_recorded,2023,Addressing feature selection and extreme learning machine tuning by diversity-oriented social network search: an application for phishing websites detection,include,phishing website/url,website,classical ML; extreme learning machine; metaheuristic optimization,SHAP,"Three public phishing website datasets: Kaggle phishing dataset (10,000 records, 48 features, 5,000 phishing and 5,000 legitimate); UCI phishing websites dataset (11,056 instances, 30 features); UCI Website Phishing small dataset (1,353 instances, 9 features plus target, three classes)",classification error; accuracy; precision; recall; F1-score; ROC-AUC; PR-AUC; statistical tests,SNS; Firefly Algorithm; Bat Algorithm; Artificial Bee Colony; Harris Hawks Optimization; Sine Cosine Algorithm; ELM tuning without feature selection,SHAP-based post-hoc feature attribution for the best ELM-DOSNS model after wrapper feature selection and ELM hyperparameter tuning,"The paper proposes a two-level Diversity-Oriented Social Network Search framework where level 1 performs wrapper feature selection and level 2 tunes an Extreme Learning Machine. It evaluates three public phishing website datasets and reports that ELM-DOSNS with feature selection reaches 95.65% accuracy on the Kaggle dataset, 93.94% on the larger UCI phishing websites dataset, and 90.78% on the UCI small dataset; without feature selection, the same approach reaches 97.25%, 94.75%, and 90.04%, respectively. SHAP is applied after model selection to the best ELM-DOSNS model for Kaggle and UCI-small analyses, identifying features such as PctExtHyperlinks, NumNumericChars, NumQueryComponents, PctNullSelfRedirectHyperlinks, FrequentDomainNameMismatch, InsecureForms, SFH, URL_of_Anchor, Request_URL, popUpWindow, URL_Length, and SSL final state as influential phishing indicators.","The study is primarily an optimization and feature-selection paper; SHAP supports interpretation of the optimized model but does not constitute a user-facing explanation workflow. No latency, deployment, analyst workflow, or human trust evaluation is reported. The authors note remaining limitations around validating DOSNS for other ML models, exploring transfer functions, and handling moderately/highly imbalanced datasets with better fitness functions.","The datasets are public via Kaggle and UCI links, and the framework is described as implemented in Python with numpy, scipy, pandas, matplotlib, seaborn, scikit-learn, and a custom ELM implementation. The paper states datasets are available from the corresponding author on reasonable request; no open source code repository is stated in the extracted full text.","Claims are benchmark- and optimizer-centered, and results may not generalize to live phishing streams or newer adversarial tactics. SHAP is evaluated technically rather than through user or analyst studies, so no measured human trust evidence is available.",Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,website,SHAP,classical ML; optimization-assisted ML,model inspection,,no,none/rhetorical,SHAP outputs are technical explanations only.,none,"No latency, deployment, analyst workflow, or human trust evaluation.",artifact,public benchmark,multi-dataset,moderate,Optimization claims are benchmark-grounded; trust and live-use claims are unsupported.,moderate,Mixed wrapper feature-selection/tuning plus SHAP.
S009,Vulfin2026MultimodalWebsiteSystem,FT004,2-s2.0-105028645835,Scopus; Scopus-expanded; Web of Science,10.3390/make8010011,doi_recorded,2026,A Multimodal Phishing Website Detection System Using Explainable Artificial Intelligence Technologies,include,multimodal phishing website,multimodal,boosted trees; CNN; transformer/LLM; hybrid ML/DL; LLM,SHAP; Grad-CAM; LLM natural-language explanation; attention analysis,Proprietary continuously updated phishing web-resource dataset D1 (about 3.2 million balanced URLs after cleaning: 1.6M phishing and 1.6M legitimate) plus public MTLP dataset D2,F1-score; ROC-AUC; false positive rate; false negative rate; throughput; latency; expert utility ratings; Fleiss kappa; Cronbach alpha,"Single-modal CatBoost, CodeBERT, CNN1D, and EfficientNet-B7 branches; multimodal voting variants; external comparison tools Google Safe Browsing, OpenPhish API, and URLhaus API; prior multimodal systems","SOC-facing multimodal explanation: SHAP for URL/metadata features, Grad-CAM/integrated gradients for symbolic and visual branches, attention matrices for HTML/CodeBERT, and local LLM/RAG reports that verbalize deterministic XAI outputs","This is one of the strongest operational and human-facing papers in the corpus. It implements a late-fusion multimodal phishing web-resource system with CatBoost for URL/metadata, CNN1D for character-level URLs, CodeBERT for HTML, EfficientNet-B7 for screenshots, and a trainable voting/meta-classifier. Reported multimodal F1 is 0.989 on the proprietary updated D1 dataset and 0.953 on the public MTLP dataset. The prototype is implemented as Docker/microservice components integrated with SOC/TI/SIEM tooling, Elasticsearch/Praeco alerting, and Telegram-style notification. Operational evidence includes feature extraction under 8 ms per URL, SHAP computation under 12 ms per URL, CatBoost inference under 8 ms per URL, CodeBERT ONNX around 200 ms, average end-to-end request processing of 47 ms under a 500-URLs/minute test flow, peak load of 1100 URLs/minute without timeouts, and a reported 26% CPU performance gain after compiling CatBoost. The paper also reports zero-day-style testing where 92 of 100 previously unrecorded URLs were flagged suspicious. For trust/utility, 30 explanations were rated by three first-line SOC analysts: mean utility increased from 3.97 to 4.20 with RAG augmentation, Fleiss kappa from 0.82 to 0.84, and Cronbach alpha from 0.90 to 0.96.","The proprietary D1 dataset and simulated SOC testbed limit external reproducibility; the zero-day experiment is manually/synthetically constructed rather than a longitudinal field deployment. The paper reports some throughput inconsistently across events-per-second and URLs-per-minute language, so operational claims should be cited with care. Late fusion provides modality-specific explanations but does not explain joint cross-modal patterns, and transformer/LLM branches create latency/resource tradeoffs. The analyst evaluation is valuable but small (three analysts, 30 explanations) and measures perceived explanation utility rather than downstream decision accuracy or calibrated trust over time.","Implementation details are unusually rich: Python 3.10, Docker containers, Flask/FastAPI endpoints, MongoDB, Elasticsearch/Praeco, SIEM integration, server specifications (4 Tesla V100 GPUs, 256 GB RAM), model branches, timings, and datasets are described. Public code release is not stated in the extracted full text, and the main D1 dataset appears proprietary/continuously updated.","Measured operational evidence and analyst-perceived explanation utility are reported. External replication, full field deployment, and decision-quality outcomes remain limited.",Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: explicit human/user/analyst evaluation. Operational evidence: workflow/lifecycle. Validation gate: human interpretation. Reproducibility: moderate. Claim-evidence risk: moderate.,multimodal,SHAP; attention/transformer visualization; LLM natural-language explanation; Grad-CAM,boosted trees; deep learning; hybrid ML/DL; transformer/LLM; CNN,operational interface support,local decision rationale,no,explicit human/user/analyst evaluation,Analyst-perceived explanation utility ratings are reported in a simulated SOC/testbed setting.,workflow/lifecycle,"Reports throughput/latency/SOC integration evidence, though not a longitudinal field deployment.",human interpretation,mixed public/custom,temporal/zero-day,moderate,"Strong operational and analyst evidence is reported, but proprietary data, a synthetic zero-day setting, and inconsistent throughput descriptions constrain broader claims.",moderate,SOC-style multimodal study with measured operational and analyst-perceived explanation evidence.
S010,Yakandawala2024ExplainableTransparentEmail,FT017,2-s2.0-105010257519,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icatc64549.2024.11025302,doi_recorded,2024,Explainable AI for Transparent Phishing Email Detection,include,phishing email,email,classical ML; support vector machine,LIME,"phishing/legitimate email dataset used for ML model training; external phishing/legitimate email datasets and manually collected emails are also used for generalization checks, but exact corpus names/counts are not fully specified in the extracted text",accuracy; precision; recall; F1; qualitative user feedback/usability/trust ratings,Logistic Regression; Random Forest; SVM; Gradient Boosting; Naive Bayes; KNN; Decision Tree,integrate LIME into an SVM email classifier and GUI so users can see localized textual reasons for phishing/legitimate predictions,"SVM is the best model in Table III with 0.960021 accuracy, 0.960775 precision, 0.960021 recall, and 0.960135 F1. LIME is selected over SHAP due to lower computational cost and is integrated with confidence graphs and feature-importance plots in a GUI. The GUI is tested with non-technical users, and reported feedback says predictions/explanations were easy to understand, LIME explanations were moderately well understood, trust increased user confidence especially among technical users, and usability ratings were high. This is measured user-feedback evidence, but sample size and protocol are not reported.","The study focuses only on phishing email and excludes smishing, vishing, and website phishing. Dataset bias may limit generalization. The model lacks continuous learning and has no feedback mechanism for correcting false positives/false negatives. User feedback is described qualitatively without sample size, instrument, or statistical analysis.","Model set and hyperparameters are tabulated, but dataset identity/counts and code availability are not fully clear in the extracted text. GUI and LIME integration are described at system level.",User-trust claims rely on under-specified feedback rather than a rigorous human-subject design. External dataset and manually collected validation are not sufficiently detailed for reproduction. The reported performance may not hold for novel phishing tactics.,Explanation role: operational interface support. Mixed-purpose xAI: no. Trust evidence: explicit human/user/analyst evaluation. Operational evidence: prototype/interface. Validation gate: human interpretation. Reproducibility: low. Claim-evidence risk: moderate.,email,LIME,classical ML,operational interface support,local decision rationale,no,explicit human/user/analyst evaluation,Qualitative user feedback/usability/trust ratings are reported but weakly specified.,prototype/interface,GUI-integrated LIME explanation workflow is described.,human interpretation,unclear/on request,cross-dataset/external,low,"Measured user evidence exists, but design, dataset, and external-validation details are weak.",moderate,Weak but explicit user-feedback case.
