screening_record_id,study_id,citation_key,source_record_id,title,year,doi,doi_status,sources,screening_status,final_decision,primary_exclusion_code,harmonized_exclusion_reason,phishing_task_confirmed,primary_study_confirmed,posthoc_xai_confirmed,extractable,eligibility_rationale,metadata_source_note
FT001,,,2-s2.0-105005784256,Leveraging machine learning to proactively identify phishing campaigns before they strike,2025,10.1186/s40537-025-01174-x,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,,yes,Phishing detection is central but SHAP is used mainly to rank features before recursive feature elimination and optimization rather than as a separable post-hoc explanation layer on the final detector.,core_database_candidates.csv
FT002,S052,Upreti2025AQUAPHISHLeveragingMetaheuristics,2-s2.0-105012279379,AQUAPHISH: Leveraging Metaheuristics and Automated Machine Learning for Precision Phishing Detection,2025,10.38094/jastt61238,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because phishing detection is central and SHAP is used to interpret the final WOA-selected AutoML model after training preserving a substantive post-hoc explanation layer.,citation_key_map_core_database.csv
FT003,S008,Bacanin2023AddressingFeatureSelection,2-s2.0-85163322467,Addressing feature selection and extreme learning machine tuning by diversity-oriented social network search: an application for phishing websites detection,2023,10.1007/s40747-023-01118-z,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because the final tuned ELM detector is explicitly followed by SHAP analysis to identify influential phishing features. though explanation is intertwined with feature selection,citation_key_map_core_database.csv
FT004,S009,Vulfin2026MultimodalWebsiteSystem,2-s2.0-105028645835,A Multimodal Phishing Website Detection System Using Explainable Artificial Intelligence Technologies,2026,10.3390/make8010011,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is phishing-central and operationalizes a rich multimodal post-hoc xAI stack using SHAP Grad-CAM,citation_key_map_core_database.csv
FT005,S003,Alam2024E2PhishExplainableEnsemble,2-s2.0-105000687343,E2Phish: Explainable Ensemble Machine Learning Model for Enhanced Phishing URL Detection,2024,10.1109/cict64037.2024.10899721,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study because the final ensemble detector is explicitly interpreted with SHAP LIME,citation_key_map_core_database.csv
FT006,,,2-s2.0-85213368431,"Explainable AI in Cybersecurity: A Comprehensive Framework for enhancing transparency, trust, and Human-AI Collaboration",2024,10.1109/isemantic63362.2024.10762690,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E1,"Non-primary, review, framework, or vision article",no,no,,no,The paper is a broad cybersecurity framework/survey rather than a phishing-central primary study with its own empirical xAI detector.,core_database_candidates.csv
FT007,,,2-s2.0-105018062301,From Black Box to Trustworthy AI: A Secure Framework for Explainable Cybersecurity Decision-Making,2025,10.1109/assic64892.2025.11158699,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E1,"Non-primary, review, framework, or vision article",no,no,,no,The paper is a conceptual secure-XAI framework for cybersecurity rather than a phishing-central primary study with its own evaluated detector.,core_database_candidates.csv
FT008,,,2-s2.0-105006648809,Fuzzy Rules for Explaining Deep Neural Network Decisions (FuzRED),2025,10.3390/electronics14101965,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,yes,The paper proposes a general XAI methodology benchmarked on spam phishing link detection,core_database_candidates.csv
FT009,S011,Liu2023KnowledgeExpansionCounterfactual,2-s2.0-85176145446,Knowledge Expansion and Counterfactual Interaction for Reference-Based Phishing Detection,2023,,no_doi_identified,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it proposes and empirically evaluates a phishing-central detector with explicit explanation mechanisms based on domain-brand inconsistency and counterfactual interaction outcomes.,citation_key_map_core_database.csv
FT010,S004,Rashid2025OneshotURLClassifiers,2-s2.0-85214811368,LLMs are one-shot URL classifiers and explainers,2025,10.1016/j.comnet.2024.111004,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it directly evaluates phishing URL detection with built-in natural-language explanations and quantitatively audits explanation quality against supervised post-hoc baselines.,citation_key_map_core_database.csv
FT011,S007,Alajlouni2024OptimizingURLComparative,2-s2.0-85215285316,Optimizing Phishing URL Detection: A Comparative Analysis of Feature Counts and Training Times,2024,10.1109/iccns62192.2024.10776210,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary phishing URL detection experiment with explicit XAI analysis using SHAP and LIME to interpret predictions and drive feature-selection decisions. though explanation is intertwined with feature selection,citation_key_map_core_database.csv
FT012,S038,Lim2025VeriPhishBridgingExplainability,2-s2.0-105031362668,VeriPhish: Bridging AI Explainability and Accuracy in Phishing Detection Through XAI and LLMs,2025,10.1109/iccst63435.2025.11295116,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it presents and evaluates a phishing-central detection framework with explicit dual XAI methods and an LLM layer for translating technical explanations into user-facing narratives.,citation_key_map_core_database.csv
