study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,dataset_provenance_category,validation_design,reproducibility_level,source_signals,risk_signals
S001,Keerthi2025ProactiveDefenseAgainst,FT020,2-s2.0-105034831363,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icaaic64647.2025.11331006,doi_recorded,2025,Proactive Defense Against Quishing: Integrating Predictive Analytics and Dynamic Analysis for Intelligent Threat Detection,custom/proprietary,single dataset,low,none detected,dataset_provenance_unclear; deployment_unvalidated
S002,AlFayoumi2024XAIPhDFortifyingTrust,FT035,2-s2.0-85201680537,Scopus; Scopus-expanded; Web of Science,10.3991/ijoe.v20i11.49533,doi_recorded,2024,XAI-PhD: Fortifying Trust of Phishing URL Detection Empowered by Shapley Additive Explanations,public benchmark,single dataset,moderate,ISCX/CIC,single_dataset; dataset_provenance_unclear; deployment_unvalidated
S003,Alam2024E2PhishExplainableEnsemble,FT005,2-s2.0-105000687343,Scopus; IEEE Xplore; Scopus-expanded,10.1109/cict64037.2024.10899721,doi_recorded,2024,E2Phish: Explainable Ensemble Machine Learning Model for Enhanced Phishing URL Detection,public benchmark,single dataset,high,Kaggle; GitHub dataset,balancing_or_resampling; deployment_unvalidated
S004,Rashid2025OneshotURLClassifiers,FT010,2-s2.0-85214811368,Scopus; Scopus-expanded,10.1016/j.comnet.2024.111004,doi_recorded,2025,LLMs are one-shot URL classifiers and explainers,public benchmark,multi-dataset,moderate,ISCX/CIC,deployment_unvalidated; llm_or_api_drift
S005,Fatima2025ExplainableIOTDevices,FT016,2-s2.0-105026382146,Scopus; Scopus-expanded,10.48084/etasr.11595,doi_recorded,2025,Explainable AI for IOT Devices and Robotic Communication Phishing Detection: A Machine Learning Approach Using LIME and SHAP,public benchmark,single dataset,moderate,PhishTank,deployment_unvalidated; human_unvalidated
S006,Prayogo2024ExplainableLearningBasedWebsite,FT014,2-s2.0-85207101088,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icitri62858.2024.10698870,doi_recorded,2024,An Explainable Machine Learning-Based Phishing Website Detection using Gradient Boosting,public benchmark,multi-dataset,moderate,UCI; Mendeley,balancing_or_resampling; deployment_unvalidated
S007,Alajlouni2024OptimizingURLComparative,FT011,2-s2.0-85215285316,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccns62192.2024.10776210,doi_recorded,2024,Optimizing Phishing URL Detection: A Comparative Analysis of Feature Counts and Training Times,public benchmark,single dataset,moderate,none detected,single_dataset; balancing_or_resampling; deployment_unvalidated
S008,Bacanin2023AddressingFeatureSelection,FT003,2-s2.0-85163322467,Scopus; Scopus-expanded; Web of Science,10.1007/s40747-023-01118-z,doi_recorded,2023,Addressing feature selection and extreme learning machine tuning by diversity-oriented social network search: an application for phishing websites detection,public benchmark,multi-dataset,moderate,Kaggle; UCI; Custom/synthetic,balancing_or_resampling; deployment_unvalidated; human_unvalidated
S009,Vulfin2026MultimodalWebsiteSystem,FT004,2-s2.0-105028645835,Scopus; Scopus-expanded; Web of Science,10.3390/make8010011,doi_recorded,2026,A Multimodal Phishing Website Detection System Using Explainable Artificial Intelligence Technologies,mixed public/custom,temporal/zero-day,moderate,Custom/synthetic,balancing_or_resampling
S010,Yakandawala2024ExplainableTransparentEmail,FT017,2-s2.0-105010257519,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icatc64549.2024.11025302,doi_recorded,2024,Explainable AI for Transparent Phishing Email Detection,unclear/on request,cross-dataset/external,low,Custom/synthetic,none detected
S011,Liu2023KnowledgeExpansionCounterfactual,FT009,2-s2.0-85176145446,Scopus; Scopus-expanded,,no_doi_identified,2023,Knowledge Expansion and Counterfactual Interaction for Reference-Based Phishing Detection,mixed public/custom,field/live,high,Phishpedia/VisualPhishNet; GitHub dataset,none detected
S012,Pragna2025ComprehensiveAnalysisApproaches,FT056,2-s2.0-105008421711,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ic3ecsbhi63591.2025.10990503,doi_recorded,2025,Comprehensive Analysis of Machine Learning Approaches for Phishing Website Detection,public benchmark,single dataset,moderate,Kaggle,single_dataset; deployment_unvalidated
S013,Yadav2026LeveragingLargeLanguage,FT078,2-s2.0-105028163376,Scopus; Scopus-expanded,10.1007/978-3-032-12983-3_46,doi_recorded,2026,Leveraging Large Language Models for Enhanced URL Phishing Detection,mixed public/custom,single dataset,low,PhishTank; OpenPhish,balancing_or_resampling; dataset_provenance_unclear; deployment_unvalidated; llm_or_api_drift
S014,Varsha2025ExplainableTechniquesChallenges,FT066,2-s2.0-105032735595,Scopus; IEEE Xplore; Scopus-expanded,10.1109/raics66191.2025.11332593,doi_recorded,2025,"Explainable AI For Phishing Detection: Techniques, Challenges, and Experimental Validation",public benchmark,single dataset,moderate,Kaggle,deployment_unvalidated
S015,Arthy2025HybridApproachSecuring,FT038,2-s2.0-105008281606,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icaeca63854.2025.11012305,doi_recorded,2025,A Hybrid Machine Learning Approach for Securing Emails:Phishing Detection and Prevention,unclear/on request,unclear,low,PhishTank; SpamAssassin,balancing_or_resampling; dataset_provenance_unclear; deployment_unvalidated
S016,Sivasankar2025PracticalAddressingChallenges,FT090,2-s2.0-105012195771,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccrtee64519.2025.11053024,doi_recorded,2025,Towards Practical Phishing Detection: Addressing Challenges with Hybrid Machine Learning Architectures,unclear/on request,unclear,low,none detected,deployment_unvalidated; human_unvalidated
S017,Matole2026SHAPDrivenFeatureSelection,FT087,2-s2.0-105028271007,Scopus; Scopus-expanded,10.1007/978-3-032-10670-4_28,doi_recorded,2026,SHAP-Driven Feature Selection with Meta-ensemble Classifiers for Efficient Phishing URL Detection,public benchmark,multi-dataset,moderate,UCI; ISCX/CIC,deployment_unvalidated; human_unvalidated
S018,Budiman2026EnhancingXGBoostPerformance,FT065,2-s2.0-105034763804,Scopus; Scopus-expanded,10.35335/ijobas.v14i4.771,doi_recorded,2026,Enhancing XGBoost performance for classification tasks using particle swarm optimization and SHAP-based model interpretability,public benchmark,single dataset,moderate,UCI,deployment_unvalidated; human_unvalidated
S019,Tashtoush2024ExploringLowlevelStatistical,FT072,2-s2.0-85197388361,Scopus; Scopus-expanded; Web of Science,10.1007/s10586-024-04655-5,doi_recorded,2024,Exploring low-level statistical features of n-grams in phishing URLs: a comparative analysis with high-level features,public benchmark,single dataset,moderate,Kaggle,single_dataset; balancing_or_resampling; deployment_unvalidated
S020,Melisa2025ExplainableHybridDeep,FT047,2-s2.0-105015888521,Scopus; Scopus-expanded; Web of Science,10.1016/j.asej.2025.103745,doi_recorded,2025,An explainable hybrid deep learning-optimization framework for robust phishing attack detection using GAN and transformer-based feature learning,unclear/on request,multi-dataset,moderate,PhishTank; ISCX/CIC; GitHub dataset; Custom/synthetic,dataset_provenance_unclear
S021,Puri2022ApplicationEnsembleWeb,FT050,2-s2.0-85141678140,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ccict56684.2022.00062,doi_recorded,2022,Application of ensemble Machine Learning models for phishing detection on web networks,public benchmark,multi-dataset,moderate,Kaggle; UCI; PhishTank,balancing_or_resampling; dataset_provenance_unclear; deployment_unvalidated
S022,Palavali2025ExplainableEnsembleDetecting,FT070,2-s2.0-105034839755,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iceca66444.2025.11382884,doi_recorded,2025,Explainable Ensemble Learning for Detecting Phishing URLs using Lightweight Cyber Threat Intelligence,public benchmark,single dataset,moderate,Mendeley,single_dataset; dataset_provenance_unclear
S023,Ahmed2026IntelligentEmailSystem,FT049,2-s2.0-105028851885,Scopus; Scopus-expanded; Web of Science,10.1016/j.knosys.2026.115388,doi_recorded,2026,An intelligent phishing email detection system using ensemble methods and explainable AI,public benchmark,cross-dataset/external,moderate,Enron; SpamAssassin; Nazario; Custom/synthetic,none detected
S025,Alotaibi2025ExplainableArtificialIntelligence,FT024,2-s2.0-85206260772,Scopus; Scopus-expanded; Web of Science,10.1016/j.aej.2024.09.115,doi_recorded,2025,Explainable artificial intelligence in web phishing classification on secure IoT with cloud-based cyber-physical systems,public benchmark,single dataset,moderate,Kaggle,balancing_or_resampling; deployment_unvalidated
S026,Uddin2026ExplainableTransformerbasedEmail,FT015,2-s2.0-105028913015,Scopus; Scopus-expanded; Web of Science,10.1016/j.comnet.2026.112061,doi_recorded,2026,An explainable transformer-based model for phishing email detection: A large language model approach,public benchmark,single dataset,moderate,Kaggle,single_dataset; balancing_or_resampling; deployment_unvalidated
S027,Bharath2025TrimodelEnsembleApproach,FT022,2-s2.0-105012487792,Scopus; Scopus-expanded,10.1007/978-981-96-4430-8_29,doi_recorded,2025,A Tri-model Ensemble Approach for Phishing URL Detection Using Explainable AI and Hyperparameter Tuning Techniques,public benchmark,single dataset,moderate,Kaggle,single_dataset; deployment_unvalidated
S029,Jovanovic2023ImprovingWebsiteHybrid,FT076,2-s2.0-85167715224,Scopus; IEEE Xplore; Scopus-expanded; Web of Science,10.13052/jwe1540-9589.2237,doi_recorded,2023,Improving Phishing Website Detection Using a Hybrid Two-level Framework for Feature Selection and XGBoost Tuning,public benchmark,multi-dataset,moderate,UCI; Mendeley,deployment_unvalidated; human_unvalidated
S030,Mia2025CanFeaturesURL,FT054,2-s2.0-85218426688,Scopus; Scopus-expanded,10.1145/3704522.3704532,doi_recorded,2024,Can Features for Phishing URL Detection Be Trusted Across Diverse Datasets? A Case Study with Explainable AI,public benchmark,cross-dataset/external,high,Kaggle; GitHub dataset,balancing_or_resampling; deployment_unvalidated; human_unvalidated
S031,Weamie2025ExplainableWebsiteEnhancing,FT071,2-s2.0-105012471800,Scopus; Scopus-expanded,10.1007/978-981-96-9872-1_27,doi_recorded,2025,Explainable Machine Learning Models for Phishing Website Detection: Enhancing Transparency and Accuracy in Cybersecurity,unclear/on request,single dataset,moderate,none detected,balancing_or_resampling
S032,Tallapally2025ExplainableDeepEmail,FT018,2-s2.0-105032729605,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icscn67106.2025.11308654,doi_recorded,2025,Explainable Deep Learning Models for Phishing Email Detection,mixed public/custom,single dataset,moderate,PhishTank; Enron; SpamAssassin; Nazario,deployment_unvalidated
S033,Hernandes2021URLbasedTechniques,FT025,2-s2.0-85125777751,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ssci50451.2021.9659981,doi_recorded,2021,Phishing Detection Using URL-based XAI Techniques,public benchmark,single dataset,moderate,none detected,single_dataset; deployment_unvalidated; human_unvalidated
S034,Kumar2026IPDMIntelligentECommerce,FT077,2-s2.0-105023312995,Scopus; Scopus-expanded,10.1007/978-3-032-07735-6_26,doi_recorded,2026,IPDM: An Intelligent Phishing Detection Model for E-Commerce Websites,public benchmark,single dataset,moderate,Kaggle,single_dataset; dataset_provenance_unclear; deployment_unvalidated
S035,Pavani2024EnhancingOnlineSafety,FT064,2-s2.0-85212869098,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icccnt61001.2024.10723976,doi_recorded,2024,Enhancing Online Safety: Phishing URL Detection Using Machine Learning and Explainable AI,public benchmark,single dataset,moderate,Kaggle,single_dataset; balancing_or_resampling; deployment_unvalidated; human_unvalidated
S036,Nti2026SynergisticIntrusionIntegrating,FT089,2-s2.0-105029086005,Scopus; Scopus-expanded; Web of Science,10.3390/fi18010030,doi_recorded,2026,Synergistic Phishing Intrusion Detection: Integrating Behavioral and Structural Indicators with Hybrid Ensembles and XAI Validation,public benchmark,single dataset,moderate,UCI,deployment_unvalidated; human_unvalidated
S037,Nauman2025TransparentTrustworthyCyberSecurity,FT032,2-s2.0-105026364473,Scopus; Scopus-expanded; Web of Science,10.3389/fdata.2025.1688091,doi_recorded,2025,Transparent and trustworthy CyberSecurity: an XAI-integrated big data framework for phishing attack detection,public benchmark,multi-dataset,moderate,ISCX/CIC,deployment_unvalidated; human_unvalidated
S038,Lim2025VeriPhishBridgingExplainability,FT012,2-s2.0-105031362668,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccst63435.2025.11295116,doi_recorded,2025,VeriPhish: Bridging AI Explainability and Accuracy in Phishing Detection Through XAI and LLMs,mixed public/custom,single dataset,moderate,Enron; SpamAssassin,deployment_unvalidated
