study_id,citation_key,screening_record_id,year,title,reliability_sample,explanation_role_primary__coding_pass_1,explanation_role_primary__coding_pass_2,explanation_role_primary__agreement,explanation_role_primary__final_label,explanation_role_primary__source_review_required,explanation_role_primary__resolution_basis,mixed_purpose_xai__coding_pass_1,mixed_purpose_xai__coding_pass_2,mixed_purpose_xai__agreement,mixed_purpose_xai__final_label,mixed_purpose_xai__source_review_required,mixed_purpose_xai__resolution_basis,trust_evidence_level__coding_pass_1,trust_evidence_level__coding_pass_2,trust_evidence_level__agreement,trust_evidence_level__final_label,trust_evidence_level__source_review_required,trust_evidence_level__resolution_basis,operational_evidence_level__coding_pass_1,operational_evidence_level__coding_pass_2,operational_evidence_level__agreement,operational_evidence_level__final_label,operational_evidence_level__source_review_required,operational_evidence_level__resolution_basis,validation_gate_reached__coding_pass_1,validation_gate_reached__coding_pass_2,validation_gate_reached__agreement,validation_gate_reached__final_label,validation_gate_reached__source_review_required,validation_gate_reached__resolution_basis,reproducibility_level__coding_pass_1,reproducibility_level__coding_pass_2,reproducibility_level__agreement,reproducibility_level__final_label,reproducibility_level__source_review_required,reproducibility_level__resolution_basis,claim_risk__coding_pass_1,claim_risk__coding_pass_2,claim_risk__agreement,claim_risk__final_label,claim_risk__source_review_required,claim_risk__resolution_basis
S001,Keerthi2025ProactiveDefenseAgainst,FT020,2025,Proactive Defense Against Quishing: Integrating Predictive Analytics and Dynamic Analysis for Intelligent Threat Detection,calibration,operational interface support,operational interface support,yes,operational interface support,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,prototype/interface,prototype/interface,yes,prototype/interface,no,agreement between coding passes,interface,interface,yes,interface,no,agreement between coding passes,low,low,yes,low,no,agreement between coding passes,high,high,yes,moderate,yes,full-text adjudication under the S5 codebook
S002,AlFayoumi2024XAIPhDFortifyingTrust,FT035,2024,XAI-PhD: Fortifying Trust of Phishing URL Detection Empowered by Shapley Additive Explanations,calibration,explanation-informed modeling,explanation-informed modeling,yes,explanation-informed modeling,no,agreement between coding passes,yes-multiple,yes-multiple,yes,yes-feature-selection,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S003,Alam2024E2PhishExplainableEnsemble,FT005,2024,E2Phish: Explainable Ensemble Machine Learning Model for Enhanced Phishing URL Detection,holdout,explanation-informed modeling,explanation-informed modeling,yes,model inspection,yes,full-text adjudication under the S5 codebook,yes-feature-selection,yes-feature-selection,yes,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,high,high,yes,high,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S004,Rashid2025OneshotURLClassifiers,FT010,2025,LLMs are one-shot URL classifiers and explainers,calibration,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,automated proxy,automated proxy,yes,automated proxy,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S005,Fatima2025ExplainableIOTDevices,FT016,2025,Explainable AI for IOT Devices and Robotic Communication Phishing Detection: A Machine Learning Approach Using LIME and SHAP,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S006,Prayogo2024ExplainableLearningBasedWebsite,FT014,2024,An Explainable Machine Learning-Based Phishing Website Detection using Gradient Boosting,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,yes-feature-selection,no,no,yes-feature-selection,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S007,Alajlouni2024OptimizingURLComparative,FT011,2024,Optimizing Phishing URL Detection: A Comparative Analysis of Feature Counts and Training Times,holdout,model inspection,model inspection,yes,explanation-informed modeling,yes,full-text adjudication under the S5 codebook,no,yes-multiple,no,yes-model-simplification,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S008,Bacanin2023AddressingFeatureSelection,FT003,2023,Addressing feature selection and extreme learning machine tuning by diversity-oriented social network search: an application for phishing websites detection,calibration,explanation-informed modeling,explanation-informed modeling,yes,model inspection,yes,full-text adjudication under the S5 codebook,yes-multiple,yes-multiple,yes,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,high,high,yes,moderate,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes
S009,Vulfin2026MultimodalWebsiteSystem,FT004,2026,A Multimodal Phishing Website Detection System Using Explainable Artificial Intelligence Technologies,calibration,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,explicit human/user/analyst evaluation,explicit human/user/analyst evaluation,yes,explicit human/user/analyst evaluation,no,agreement between coding passes,prototype/interface,workflow/lifecycle,no,workflow/lifecycle,yes,full-text adjudication under the S5 codebook,human interpretation,human interpretation,yes,human interpretation,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S010,Yakandawala2024ExplainableTransparentEmail,FT017,2024,Explainable AI for Transparent Phishing Email Detection,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,explicit human/user/analyst evaluation,yes,full-text adjudication under the S5 codebook,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,human interpretation,yes,full-text adjudication under the S5 codebook,low,low,yes,low,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
