study_id,citation_key,year,title,modality,xai_methods,dataset_provenance,validation_design,trust_evidence,operational_evidence,mixed_purpose_xai,claim_risk
S001,Keerthi2025ProactiveDefenseAgainst,2025,Proactive Defense Against Quishing: Integrating Predictive Analytics and Dynamic Analysis for Intelligent Threat Detection,qr/quishing,SHAP; analyst dashboard visualization,custom/proprietary,single dataset,none/rhetorical,prototype/interface,no,moderate
S002,AlFayoumi2024XAIPhDFortifyingTrust,2024,XAI-PhD: Fortifying Trust of Phishing URL Detection Empowered by Shapley Additive Explanations,url,SHAP,public benchmark,single dataset,none/rhetorical,runtime/resource,yes-feature-selection,moderate
S003,Alam2024E2PhishExplainableEnsemble,2024,E2Phish: Explainable Ensemble Machine Learning Model for Enhanced Phishing URL Detection,url,SHAP; LIME; PDP,public benchmark,single dataset,none/rhetorical,none,no,moderate
S004,Rashid2025OneshotURLClassifiers,2025,LLMs are one-shot URL classifiers and explainers,url,LIME; LLM natural-language explanation,public benchmark,multi-dataset,automated proxy,none,no,moderate
S005,Fatima2025ExplainableIOTDevices,2025,Explainable AI for IOT Devices and Robotic Communication Phishing Detection: A Machine Learning Approach Using LIME and SHAP,url,SHAP; LIME,public benchmark,single dataset,none/rhetorical,prototype/interface,no,moderate
S006,Prayogo2024ExplainableLearningBasedWebsite,2024,An Explainable Machine Learning-Based Phishing Website Detection using Gradient Boosting,website,SHAP; LIME,public benchmark,multi-dataset,none/rhetorical,none,yes-feature-selection,moderate
S007,Alajlouni2024OptimizingURLComparative,2024,Optimizing Phishing URL Detection: A Comparative Analysis of Feature Counts and Training Times,url,SHAP; LIME,public benchmark,single dataset,none/rhetorical,runtime/resource,yes-model-simplification,moderate
S008,Bacanin2023AddressingFeatureSelection,2023,Addressing feature selection and extreme learning machine tuning by diversity-oriented social network search: an application for phishing websites detection,website,SHAP,public benchmark,multi-dataset,none/rhetorical,none,no,moderate
S009,Vulfin2026MultimodalWebsiteSystem,2026,A Multimodal Phishing Website Detection System Using Explainable Artificial Intelligence Technologies,multimodal,SHAP; attention/transformer visualization; LLM natural-language explanation; Grad-CAM,mixed public/custom,temporal/zero-day,explicit human/user/analyst evaluation,workflow/lifecycle,no,moderate
S010,Yakandawala2024ExplainableTransparentEmail,2024,Explainable AI for Transparent Phishing Email Detection,email,LIME,unclear/on request,cross-dataset/external,explicit human/user/analyst evaluation,prototype/interface,no,moderate
S011,Liu2023KnowledgeExpansionCounterfactual,2023,Knowledge Expansion and Counterfactual Interaction for Reference-Based Phishing Detection,visual,counterfactual explanation; domain-brand inconsistency explanation,mixed public/custom,field/live,none/rhetorical,runtime/resource,no,low
S012,Pragna2025ComprehensiveAnalysisApproaches,2025,Comprehensive Analysis of Machine Learning Approaches for Phishing Website Detection,website,SHAP; LIME,public benchmark,single dataset,none/rhetorical,none,no,moderate
S013,Yadav2026LeveragingLargeLanguage,2026,Leveraging Large Language Models for Enhanced URL Phishing Detection,url,SHAP; LLM natural-language explanation,mixed public/custom,single dataset,none/rhetorical,runtime/resource,no,moderate
S014,Varsha2025ExplainableTechniquesChallenges,2025,"Explainable AI For Phishing Detection: Techniques, Challenges, and Experimental Validation",url/website,SHAP; LIME,public benchmark,single dataset,none/rhetorical,none,no,moderate
S015,Arthy2025HybridApproachSecuring,2025,A Hybrid Machine Learning Approach for Securing Emails:Phishing Detection and Prevention,email,SHAP; LIME,unclear/on request,unclear,none/rhetorical,prototype/interface,no,high
