study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,primary_modality_normalized,xai_methods_normalized,model_families_normalized,explanation_role_primary,explanation_role_secondary,mixed_purpose_xai,trust_evidence_level,trust_evidence_basis,operational_evidence_level,operational_evidence_basis,validation_gate_reached,dataset_provenance_category,validation_design,reproducibility_level,claim_evidence_mismatch,claim_risk,coding_notes
S052,Upreti2025AQUAPHISHLeveragingMetaheuristics,FT002,2-s2.0-105012279379,Scopus; Scopus-expanded,10.38094/jastt61238,doi_recorded,2025,AQUAPHISH: Leveraging Metaheuristics and Automated Machine Learning for Precision Phishing Detection,website,SHAP,boosted trees; ensemble/AutoML,model inspection,,no,none/rhetorical,"Transparency checked through SHAP, but no user or analyst evaluation.",runtime/resource,Runtime and inference-latency profiling plus H2O MOJO deployment path.,artifact,public benchmark,single dataset,moderate,"Operational profiling is real, but trust/deployment claims exceed human or live evidence.",moderate,SHAP supports feature reduction within an AutoML optimization workflow.
S008,Bacanin2023AddressingFeatureSelection,FT003,2-s2.0-85163322467,Scopus; Scopus-expanded; Web of Science,10.1007/s40747-023-01118-z,doi_recorded,2023,Addressing feature selection and extreme learning machine tuning by diversity-oriented social network search: an application for phishing websites detection,website,SHAP,classical ML; optimization-assisted ML,model inspection,,no,none/rhetorical,SHAP outputs are technical explanations only.,none,"No latency, deployment, analyst workflow, or human trust evaluation.",artifact,public benchmark,multi-dataset,moderate,Optimization claims are benchmark-grounded; trust and live-use claims are unsupported.,moderate,Mixed wrapper feature-selection/tuning plus SHAP.
S009,Vulfin2026MultimodalWebsiteSystem,FT004,2-s2.0-105028645835,Scopus; Scopus-expanded; Web of Science,10.3390/make8010011,doi_recorded,2026,A Multimodal Phishing Website Detection System Using Explainable Artificial Intelligence Technologies,multimodal,SHAP; attention/transformer visualization; LLM natural-language explanation; Grad-CAM,boosted trees; deep learning; hybrid ML/DL; transformer/LLM; CNN,operational interface support,local decision rationale,no,explicit human/user/analyst evaluation,Analyst-perceived explanation utility ratings are reported in a simulated SOC/testbed setting.,workflow/lifecycle,"Reports throughput/latency/SOC integration evidence, though not a longitudinal field deployment.",human interpretation,mixed public/custom,temporal/zero-day,moderate,"Strong operational and analyst evidence is reported, but proprietary data, a synthetic zero-day setting, and inconsistent throughput descriptions constrain broader claims.",moderate,SOC-style multimodal study with measured operational and analyst-perceived explanation evidence.
S003,Alam2024E2PhishExplainableEnsemble,FT005,2-s2.0-105000687343,Scopus; IEEE Xplore; Scopus-expanded,10.1109/cict64037.2024.10899721,doi_recorded,2024,E2Phish: Explainable Ensemble Machine Learning Model for Enhanced Phishing URL Detection,url,SHAP; LIME; PDP,classical ML; ensemble/AutoML,model inspection,local decision rationale,no,none/rhetorical,No human or analyst validation of SHAP/LIME/PDP usefulness.,none,"No runtime, latency, deployment, or workflow evidence.",artifact,public benchmark,single dataset,high,Benchmark performance and explanation plots do not support trust or operational claims.,moderate,"MI feature selection precedes, rather than constitutes, the post-hoc XAI stage."
S011,Liu2023KnowledgeExpansionCounterfactual,FT009,2-s2.0-85176145446,Scopus; Scopus-expanded,,no_doi_identified,2023,Knowledge Expansion and Counterfactual Interaction for Reference-Based Phishing Detection,visual,counterfactual explanation; domain-brand inconsistency explanation,deep learning; hybrid ML/DL,robustness/failure analysis,local decision rationale,no,none/rhetorical,"Counterfactual/domain-brand explanations are system-generated, not user-evaluated.",runtime/resource,Runtime overhead and wild-study evidence are reported.,artifact,mixed public/custom,field/live,high,Operational evidence is comparatively strong; trust benefit remains unmeasured.,low,Counterfactual explanation study with wild or field-like detector evidence.
S004,Rashid2025OneshotURLClassifiers,FT010,2-s2.0-85214811368,Scopus; Scopus-expanded,10.1016/j.comnet.2024.111004,doi_recorded,2025,LLMs are one-shot URL classifiers and explainers,url,LIME; LLM natural-language explanation,transformer/LLM,local decision rationale,model inspection,no,automated proxy,"Jaccard/G-Eval explanation metrics are automated proxies, not measured trust.",none,Latency and deployment constraints are discussed as future/server-side concerns.,artifact,public benchmark,multi-dataset,moderate,Explanation-quality metrics should not be described as human trust evidence.,moderate,LLM self-explanation strand.
S007,Alajlouni2024OptimizingURLComparative,FT011,2-s2.0-85215285316,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccns62192.2024.10776210,doi_recorded,2024,Optimizing Phishing URL Detection: A Comparative Analysis of Feature Counts and Training Times,url,SHAP; LIME,classical ML; boosted trees; deep learning,explanation-informed modeling,model inspection,yes-model-simplification,none/rhetorical,No user/analyst trust evidence.,runtime/resource,Feature-count reduction and training-time speed-up are measured.,artifact,public benchmark,single dataset,moderate,Efficiency evidence is training-centered; real-time inference and trust remain untested.,moderate,Mixed SHAP/LIME feature-reduction paper.
S038,Lim2025VeriPhishBridgingExplainability,FT012,2-s2.0-105031362668,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccst63435.2025.11295116,doi_recorded,2025,VeriPhish: Bridging AI Explainability and Accuracy in Phishing Detection Through XAI and LLMs,email,SHAP; LIME; LLM natural-language explanation,classical ML; transformer/LLM,operational interface support,local decision rationale,no,automated proxy,LLM explanation quality metrics are automated/internal rather than human-subject evidence.,prototype/interface,"GUI/extension modes plus processing time, memory, and CPU utilization are reported.",interface,mixed public/custom,single dataset,moderate,Prototype and automated explanation-quality evidence do not establish calibrated user trust.,moderate,LLM-translated explanation pipeline.
S045,Tawfik2025ExplainableFewshotModern,FT013,2-s2.0-105023534042,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-27500-0,doi_recorded,2025,Explainable few-shot learning with modern BERT for detecting emerging phishing attacks using XF PhishBERT,url/website,SHAP; LIME; attention/transformer visualization; counterfactual explanation,hybrid ML/DL; transformer/LLM; few-shot learning,local decision rationale,operational interface support,no,explicit human/user/analyst evaluation,Reports human comprehension/utility testing for simplified explanations.,field setting,"A browser extension was evaluated over 30 days on 45,782 unique URLs, with 42 ms average processing time and manual verification of detected phishing attempts.",human interpretation,mixed public/custom,cross-dataset/external,high,"Human interpretation is measured, but long-term trust calibration and behavior are not.",low,Few-shot phishing detection with explicit human-comprehension evaluation.
S006,Prayogo2024ExplainableLearningBasedWebsite,FT014,2-s2.0-85207101088,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icitri62858.2024.10698870,doi_recorded,2024,An Explainable Machine Learning-Based Phishing Website Detection using Gradient Boosting,website,SHAP; LIME,boosted trees,model inspection,explanation-informed modeling,yes-feature-selection,none/rhetorical,No human trust or usability evaluation.,none,Fast gradient-boosting claims are not backed by concrete deployment/runtime evidence.,artifact,public benchmark,multi-dataset,moderate,Reduced-feature accuracy does not establish analyst usefulness or deployment performance.,moderate,SHAP/LIME boosted-tree benchmark with feature-reduction use.
S026,Uddin2026ExplainableTransformerbasedEmail,FT015,2-s2.0-105028913015,Scopus; Scopus-expanded; Web of Science,10.1016/j.comnet.2026.112061,doi_recorded,2026,An explainable transformer-based model for phishing email detection: A large language model approach,email,LIME; attention/transformer visualization,transformer/LLM,local decision rationale,model inspection,no,none/rhetorical,Explanation examples are illustrative only.,none,Operational utility is not addressed beyond generic DistilBERT efficiency.,artifact,public benchmark,single dataset,moderate,Oversampled single-dataset performance and illustrative explanations do not support trust claims.,moderate,Transformer-based email phishing study with post-hoc XAI.
S005,Fatima2025ExplainableIOTDevices,FT016,2-s2.0-105026382146,Scopus; Scopus-expanded,10.48084/etasr.11595,doi_recorded,2025,Explainable AI for IOT Devices and Robotic Communication Phishing Detection: A Machine Learning Approach Using LIME and SHAP,url,SHAP; LIME,classical ML; random forest,operational interface support,local decision rationale,no,none/rhetorical,Trust/usability are asserted but not measured.,prototype/interface,Interactive URL-prediction mechanism is described without user testing.,interface,public benchmark,single dataset,moderate,IoT/robotic framing and interface claims are stronger than the URL-only empirical evidence.,moderate,Random-forest URL detector with LIME and SHAP interaction analysis.
S010,Yakandawala2024ExplainableTransparentEmail,FT017,2-s2.0-105010257519,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icatc64549.2024.11025302,doi_recorded,2024,Explainable AI for Transparent Phishing Email Detection,email,LIME,classical ML,operational interface support,local decision rationale,no,explicit human/user/analyst evaluation,Qualitative user feedback/usability/trust ratings are reported but weakly specified.,prototype/interface,GUI-integrated LIME explanation workflow is described.,human interpretation,unclear/on request,cross-dataset/external,low,"Measured user evidence exists, but design, dataset, and external-validation details are weak.",moderate,Weak but explicit user-feedback case.
S032,Tallapally2025ExplainableDeepEmail,FT018,2-s2.0-105032729605,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icscn67106.2025.11308654,doi_recorded,2025,Explainable Deep Learning Models for Phishing Email Detection,email,SHAP; LIME; attention/transformer visualization; Grad-CAM,ensemble/AutoML; deep learning; transformer/LLM; CNN,operational interface support,local decision rationale,no,none/rhetorical,"Usefulness is assessed through illustrative cases/alignment, not actual analyst studies.",prototype/interface,"Analyst-facing dashboard/email-gateway interpretation is described, with only limited overhead discussion.",interface,mixed public/custom,single dataset,moderate,Dashboard and analyst-support claims lack human-outcome validation and precise deployment timing.,moderate,Deep-learning email study using multiple post-hoc explainers.
S049,Lakshmi2026LightPhishAILightweightMultimodal,FT019,2-s2.0-105034415140,Scopus; Scopus-expanded,10.14445/23488549/ijece-v13i3p120,doi_recorded,2026,LightPhishAI: A Lightweight Multimodal Feature Extraction and Fusion Framework for Real-Time Phishing Detection on IoT Devices,multimodal,SHAP; LIME; attention/transformer visualization; Grad-CAM,deep learning; hybrid ML/DL; transformer/LLM; CNN,model inspection,,no,none/rhetorical,Human trust/workflow benefits are asserted but not evaluated.,runtime/resource,"GPU/edge latency, model size, FLOPs, CPU, power, and energy evidence are reported.",artifact,mixed public/custom,cross-dataset/external,moderate,"Edge profiling supports efficiency claims, but not live deployment or trust claims.",moderate,Multimodal edge-oriented study with measured operational evidence.
